"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type","Param: wrapped"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,14.913510,0.017192,"ns/op",0,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,41.205617,0.028506,"ns/op",0,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,17.136802,0.005214,"ns/op",0,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,36.016895,0.024546,"ns/op",0,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,18.845729,0.009806,"ns/op",0,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,23.799915,0.018533,"ns/op",10,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,9.717820,0.001736,"ns/op",10,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,39.617433,0.051482,"ns/op",10,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,21.870597,0.023508,"ns/op",10,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,34.239647,0.024044,"ns/op",10,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,18.963475,0.037739,"ns/op",10,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,39.256185,0.033017,"ns/op",10,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,23.108685,0.048263,"ns/op",10,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,43.668981,0.041357,"ns/op",10,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,23.820058,0.019069,"ns/op",10,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,159.312174,0.252203,"ns/op",100,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,147.982547,0.271046,"ns/op",100,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,171.340355,0.031049,"ns/op",100,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,156.657397,0.241857,"ns/op",100,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,175.594814,1.434499,"ns/op",100,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,153.577128,0.203887,"ns/op",100,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,188.511522,0.163688,"ns/op",100,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,164.431513,0.327096,"ns/op",100,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,182.779952,0.377558,"ns/op",100,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,160.033685,6.827870,"ns/op",100,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,315.754809,0.426301,"ns/op",200,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,303.776696,0.028396,"ns/op",200,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,326.740028,0.174252,"ns/op",200,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,312.653784,0.263220,"ns/op",200,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,332.618592,3.373154,"ns/op",200,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,309.381008,0.091455,"ns/op",200,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,340.940695,0.308677,"ns/op",200,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,316.063269,0.433511,"ns/op",200,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,341.130345,0.813450,"ns/op",200,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",1,5,315.923637,0.399277,"ns/op",200,reflection-sync,false
